Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos,cWPA,RE24,Pos
3-May,NYY,,SLB,W14-5,CG,6,6,3,3,0,1,0,1,0,0,1,0,0,,0,,0,0,0.5,0.5,0.833,1.333,3,0.54,0.145,1.67,0.27%,2.5,LF,0.27%,2.5,LF
5-May,NYY,,SLB,W8-2,CG,5,5,2,3,0,0,0,2,0,0,0,0,0,,0,,0,0,0.545,0.545,0.727,1.273,3,0.5,0.042,1.69,0.09%,1.63,LF,0.09%,1.63,LF
6-May,NYY,,DET,W14-3,CG,5,4,1,2,1,0,0,1,0,0,0,1,0,,0,,0,0,0.533,0.563,0.733,1.296,3,0.32,0.084,1.26,0.20%,1.26,LF,0.20%,1.26,LF
7-May,NYY,,DET,W6-5,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,,0,,0,0,0.474,0.5,0.632,1.132,3,1.49,0,5.96,0.00%,0.22,LF,0.00%,0.22,LF
8-May,NYY,,PHA,L2-3,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.375,0.4,0.5,0.9,3,2.39,-0.35,9.09,-0.80%,-1.58,LF,-0.80%,-1.58,LF
9-May,NYY,,PHA,W5-2,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,,0,,0,0,0.333,0.379,0.444,0.824,3,0.92,-0.062,3.26,-0.13%,-0.39,LF,-0.13%,-0.39,LF
10-May,NYY,,PHA,W7-2,CG,4,4,1,1,0,0,1,3,0,0,1,0,0,,0,,0,0,0.323,0.364,0.516,0.88,3,0.58,0.146,2.06,0.31%,0.76,LF,0.31%,0.76,LF
12-May,NYY,@,SLB,L0-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0.314,0.351,0.486,0.837,3,0.35,-0.016,1.35,-0.04%,-1.03,LF,-0.04%,-1.03,LF
13-May,NYY,@,SLB,W4-1,CG,5,5,0,2,1,0,0,1,0,0,0,0,0,,0,,0,0,0.325,0.357,0.5,0.857,3,1.24,0.031,4.74,0.07%,-0.1,LF,0.07%,-0.1,LF
14-May,NYY,@,SLB,W6-1,CG,5,5,1,4,3,0,0,1,0,0,0,0,0,,0,,0,0,0.378,0.404,0.6,1.004,3,0.99,0.128,3.71,0.29%,1.9,LF,0.29%,1.9,LF
15-May,NYY,@,CHW,L7-9,CG,5,5,2,4,2,0,0,0,0,0,0,0,0,,0,,0,0,0.42,0.442,0.66,1.102,3,0.92,0.184,4.25,0.51%,1.71,LF,0.51%,1.71,LF
16-May,NYY,@,CHW,W8-2,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0.382,0.404,0.6,1.004,3,0.57,-0.102,2.62,-0.28%,-2.29,LF,-0.28%,-2.29,LF
17-May,NYY,@,CLE,W8-4,CG,5,4,2,2,2,0,0,0,1,0,0,0,0,,0,,0,0,0.39,0.419,0.627,1.046,3,0.83,0.058,4.28,0.18%,1.11,LF,0.18%,1.11,LF
19-May,NYY,@,CLE,W10-4,CG,5,5,0,2,0,0,0,1,0,0,1,0,0,,0,,0,0,0.391,0.418,0.609,1.027,3,0.68,0.079,3.46,0.24%,0.82,LF,0.24%,0.82,LF
20-May,NYY,@,DET,L3-4,CG(10),5,4,2,2,0,0,1,1,1,0,2,0,0,,0,,1,0,0.397,0.431,0.647,1.078,3,2.02,-0.012,10.03,-0.04%,0.83,LF,-0.04%,0.83,LF
21-May,NYY,@,DET,L9-10,CG,5,5,2,3,1,0,0,1,0,0,0,0,0,,0,,0,0,0.411,0.442,0.658,1.099,3,1.36,0.153,7,0.47%,0.78,LF,0.47%,0.78,LF
May 23 (1),NYY,@,PHA,W12-6,CG,5,5,2,1,0,0,0,1,0,0,0,0,0,,0,,0,0,0.397,0.427,0.628,1.055,3,0.55,-0.081,2.39,-0.21%,-1.01,LF,-0.21%,-1.01,LF
May 23 (2),NYY,@,PHA,W15-1,CG,6,6,1,2,1,0,0,1,0,0,0,0,0,,0,,0,0,0.393,0.42,0.619,1.04,3,0.38,-0.08,1.61,-0.20%,0.06,LF,-0.20%,0.06,LF
24-May,NYY,@,PHA,W25-2,CG,7,7,2,3,1,0,1,3,0,0,0,0,0,,0,,0,0,0.396,0.421,0.648,1.069,3,0.49,0.088,2.22,0.24%,1.73,LF,0.24%,1.73,LF
25-May,NYY,@,PHA,L7-10,CG,5,5,2,1,0,1,0,0,0,0,0,0,0,,1,,0,0,0.385,0.41,0.646,1.056,3,1.74,-0.162,8.2,-0.46%,-1,LF,-0.46%,-1,LF
26-May,NYY,@,BOS,L4-5,CG,5,5,0,1,0,0,0,3,0,0,0,0,0,,0,,0,0,0.376,0.4,0.624,1.024,3,2.77,-0.167,16.95,-0.61%,-0.31,LF,-0.61%,-0.31,LF
